metric,scope,n,pearson_r,source
ftle_final,overall,800,-0.14586235601393224,legacy
ftle_final,factual,200,0.04304900637732982,legacy
ftle_final,coding,200,-0.34818453638868174,legacy
ftle_final,reasoning,200,-0.12078612406012591,legacy
ftle_final,hallucination_prone,200,-0.4142787743646309,legacy
expansive_frac,overall,800,-0.0886025332453613,legacy
expansive_frac,factual,200,-0.1159358491793468,legacy
expansive_frac,coding,200,-0.24478305276850074,legacy
expansive_frac,reasoning,200,-0.15839810205593674,legacy
expansive_frac,hallucination_prone,200,0.19601192120888875,legacy
entropy,overall,800,-0.1597547996627564,legacy
entropy,factual,200,-0.12213883483984209,legacy
entropy,coding,200,-0.5929448146863024,legacy
entropy,reasoning,200,-0.037983444483835255,legacy
entropy,hallucination_prone,200,0.12472079924178088,legacy
top1_prob,overall,800,0.11981501094967853,legacy
top1_prob,factual,200,0.10210076885747973,legacy
top1_prob,coding,200,0.477154670153171,legacy
top1_prob,reasoning,200,-0.18496278723529677,legacy
top1_prob,hallucination_prone,200,-0.030146226797677065,legacy
sigma_max,overall,160,-0.03857196801273658,spectral
sigma_max,factual,40,0.09272128279657067,spectral
sigma_max,coding,40,0.10359023861649277,spectral
sigma_max,reasoning,40,-0.4231090339089679,spectral
sigma_max,hallucination_prone,40,0.10227356688820136,spectral
lambda_max,overall,160,-0.04611357760310491,spectral
lambda_max,factual,40,0.10427504151684402,spectral
lambda_max,coding,40,0.12828121817303273,spectral
lambda_max,reasoning,40,-0.4510512982276044,spectral
lambda_max,hallucination_prone,40,0.109913673156612,spectral
lambda_bulk_pred,overall,160,-0.1484824656613534,spectral
lambda_bulk_pred,factual,40,-0.18152097799145586,spectral
lambda_bulk_pred,coding,40,-0.0444193588257487,spectral
lambda_bulk_pred,reasoning,40,-0.541209868891939,spectral
lambda_bulk_pred,hallucination_prone,40,-0.13920930852999003,spectral
stable_rank,overall,160,-0.014033358611789712,spectral
stable_rank,factual,40,-0.2082441392645108,spectral
stable_rank,coding,40,-0.14497906233052738,spectral
stable_rank,reasoning,40,0.44345222313860416,spectral
stable_rank,hallucination_prone,40,-0.1758897362155211,spectral
spectral_gap,overall,160,0.13255913054419916,spectral
spectral_gap,factual,40,0.08136027384998086,spectral
spectral_gap,coding,40,-0.0066703882131604044,spectral
spectral_gap,reasoning,40,0.389562828488065,spectral
spectral_gap,hallucination_prone,40,0.2370230474722527,spectral
chi_fisher_max,overall,160,0.1375629877614768,spectral
chi_fisher_max,factual,40,0.36028112957534425,spectral
chi_fisher_max,coding,40,0.12405823215796177,spectral
chi_fisher_max,reasoning,40,0.04864373719105146,spectral
chi_fisher_max,hallucination_prone,40,0.05560045309819448,spectral
chi_fisher_along_hidden_lead,overall,160,0.17077612251520413,spectral
chi_fisher_along_hidden_lead,factual,40,0.5242725022357254,spectral
chi_fisher_along_hidden_lead,coding,40,0.10079365119486132,spectral
chi_fisher_along_hidden_lead,reasoning,40,-0.16875822860597697,spectral
chi_fisher_along_hidden_lead,hallucination_prone,40,0.09250676524259033,spectral
lead_alignment,overall,160,0.15090360359606253,spectral
lead_alignment,factual,40,0.5277307991326577,spectral
lead_alignment,coding,40,0.005506399907687913,spectral
lead_alignment,reasoning,40,-0.6292870645037734,spectral
lead_alignment,hallucination_prone,40,-0.007224817705602649,spectral
entropy,overall,160,0.045813686085604974,spectral
entropy,factual,40,-0.07749045313615732,spectral
entropy,coding,40,-0.017159480466825583,spectral
entropy,reasoning,40,0.7382295059066696,spectral
entropy,hallucination_prone,40,-0.0681122867082299,spectral
top1_prob,overall,160,-0.02422308188403752,spectral
top1_prob,factual,40,0.1443659490006014,spectral
top1_prob,coding,40,0.06408288940362328,spectral
top1_prob,reasoning,40,-0.7859051247024146,spectral
top1_prob,hallucination_prone,40,0.16388790634614325,spectral
